Order ID,Order Date,Ship Date,Customer Name,Customer Segment,Category,Sub-Category,Product Name,Sales Amount,Profit,Discount,Quantity,Region,State
ORD1000,2023-03-28 00:00:00,2023-03-30 00:00:00,Customer 86,Home Office,Office Supplies,Binders,Binders 96,611.31,39.71,0.16,8,South,Texas
ORD1001,2023-10-15 00:00:00,2023-10-17 00:00:00,Customer 449,Home Office,Technology,Phones,Phones 54,62.75,5.02,0.11,4,East,California
ORD1002,2023-01-24 00:00:00,2023-01-30 00:00:00,Customer 90,Corporate,Technology,Printers,Printers 47,454.63,52.64,0.18,3,West,Texas
ORD1003,2023-04-04 00:00:00,2023-04-09 00:00:00,Customer 383,Home Office,Technology,Printers,Printers 92,404.49,108.25,0.06,9,South,California
ORD1004,2023-06-11 00:00:00,2023-06-15 00:00:00,Customer 84,Small Business,Office Supplies,Paper,Paper 43,295.64,50.94,0.05,10,West,Florida
ORD1005,2023-07-02 00:00:00,2023-07-06 00:00:00,Customer 422,Consumer,Technology,Laptops,Laptops 30,245.85,41.97,0.13,9,South,California
ORD1006,2023-08-31 00:00:00,2023-09-07 00:00:00,Customer 326,Home Office,Office Supplies,Pens,Pens 45,332.45,37.59,0.08,2,West,New York
ORD1007,2023-05-29 00:00:00,2023-06-05 00:00:00,Customer 473,Small Business,Technology,Laptops,Laptops 19,642.65,172.08,0.01,9,Central,Illinois
ORD1008,2023-08-21 00:00:00,2023-08-23 00:00:00,Customer 485,Corporate,Office Supplies,Pens,Pens 59,631.86,106.1,0.05,3,East,Illinois
ORD1009,2023-03-22 00:00:00,2023-03-24 00:00:00,Customer 145,Corporate,Office Supplies,Binders,Binders 27,253.37,51.71,0.16,10,Central,Texas
ORD1010,2023-05-31 00:00:00,2023-06-01 00:00:00,Customer 146,Small Business,Office Supplies,Binders,Binders 62,591.64,51.41,0.16,5,Central,Texas
ORD1011,2024-01-01 00:00:00,2024-01-05 00:00:00,Customer 20,Corporate,Furniture,Sofas,Sofas 85,521.36,152.61,0.17,3,Central,New York
ORD1012,2023-01-24 00:00:00,2023-01-31 00:00:00,Customer 429,Home Office,Technology,Monitors,Monitors 56,84.69,6.22,0.14,5,West,California
ORD1013,2023-03-15 00:00:00,2023-03-16 00:00:00,Customer 370,Home Office,Office Supplies,Binders,Binders 1,771.18,89.91,0,2,West,Florida
ORD1014,2023-11-13 00:00:00,2023-11-16 00:00:00,Customer 479,Home Office,Technology,Printers,Printers 92,160.29,39.18,0.15,9,East,Florida
ORD1015,2023-11-19 00:00:00,2023-11-21 00:00:00,Customer 445,Small Business,Office Supplies,Paper,Paper 89,213.41,52.1,0.07,7,South,California
ORD1016,2023-07-07 00:00:00,2023-07-09 00:00:00,Customer 154,Consumer,Furniture,Bookcases,Bookcases 30,793.72,201.13,0.03,1,Central,Florida
ORD1017,2023-10-10 00:00:00,2023-10-14 00:00:00,Customer 316,Home Office,Technology,Printers,Printers 33,260.46,30.89,0.09,7,Central,New York
ORD1018,2023-05-17 00:00:00,2023-05-18 00:00:00,Customer 81,Consumer,Office Supplies,Staplers,Staplers 55,112.53,13.93,0.01,5,South,New York
ORD1019,2023-01-20 00:00:00,2023-01-23 00:00:00,Customer 417,Corporate,Furniture,Sofas,Sofas 63,300.9,37.97,0.18,5,South,Florida
ORD1020,2023-12-04 00:00:00,2023-12-10 00:00:00,Customer 283,Corporate,Office Supplies,Staplers,Staplers 94,52.96,15.76,0.14,3,South,Florida
ORD1021,2023-03-06 00:00:00,2023-03-10 00:00:00,Customer 478,Corporate,Furniture,Tables,Tables 53,892.32,256.95,0.02,4,South,Illinois
ORD1022,2023-12-11 00:00:00,2023-12-15 00:00:00,Customer 2,Consumer,Office Supplies,Staplers,Staplers 68,457.94,101.2,0.03,1,South,Texas
ORD1023,2023-12-02 00:00:00,2023-12-07 00:00:00,Customer 11,Consumer,Office Supplies,Staplers,Staplers 94,968.73,79.92,0.12,6,Central,New York
ORD1024,2023-11-09 00:00:00,2023-11-12 00:00:00,Customer 255,Home Office,Office Supplies,Paper,Paper 36,406.22,68.98,0.07,2,East,Texas
ORD1025,2023-05-18 00:00:00,2023-05-23 00:00:00,Customer 96,Corporate,Furniture,Tables,Tables 75,896.01,265.86,0.13,5,East,New York
